,name,views
0,Roblox,86K
1,Garena Free Fire,46K
2,Grand Theft Auto V,28K
3,Sons of the Forest,24K
4,League of Legends,23K
5,Minecraft,13K
6,Apex Legends,11K
7,Chess,8.5K
8,Pokémon GO,7K
9,Fortnite,5.3K
10,Call of Duty: Warzone,5.2K
11,Counter-Strike: Global Offensive,4.1K
12,Mobile Legends: Bang Bang,3.8K
13,Pokémon Scarlet and Violet,3.7K
14,Splatoon 3,3K
15,Diablo III,2.8K
16,Call of Duty®: Warzone™ 2.0,2.8K
17,Hogwarts Legacy,2.6K
18,Teamfight Tactics,2.4K
19,The Legend of Zelda: Breath of the Wild,2.1K
20,BeamNG.drive,2.1K
21,Dead by Daylight,2.1K
22,Kirby's Return to Dream Land,1.8K
23,eFootball 2023,1.7K
24,Gates of Olympus Slot,1.7K
25,Kick the Buddy,1.7K
26,Tales of Vesperia: Definitive Edition,1.6K
27,Stumble Guys,1.6K
28,Mario Kart 8 Deluxe,1.6K
29,PUBG Mobile,1.6K
30,Nintendo Tales of Symphonia,1.5K
31,Valorant,1.5K
32,StarCraft: Remastered,1.5K
33,Jackpot Carnival,1.4K
34,Kirby's Return to Dream Land Deluxe,1.4K
35,Clash of Clans,1.4K
36,Age of Empires II: Definitive Edition,1.4K
37,Free Fire MAX,1.4K
38,Super Smash Bros. Ultimate,1.3K
39,The Sims 4,1.3K
40,EA SPORTS FIFA 23,1.3K
41,Overwatch,1.2K
42,Genshin Impact,1.2K
43,A Hat in Time,1.2K
44,Call of Duty: Mobile,1.2K
45,The Elder Scrolls IV: Oblivion,1.1K
46,Dota 2,1.1K
47,Among Us,1.1K
48,Valheim,1.1K
49,Geometry Dash,1.1K
